frames,faults_per_1000
50,86.2069
51,86.2069
52,86.2069
53,86.2069
54,86.2069
55,86.2069
56,86.2069
57,86.2069
58,86.2069
59,86.2069
60,86.2069
61,86.2069
62,86.2069
63,86.2069
64,86.2069
65,86.2069
66,86.2069
67,86.2069
68,86.2069
69,86.2069
70,86.2069
71,86.2069
72,86.2069
73,86.2069
74,86.2069
75,86.2069
76,86.2069
77,86.2069
78,86.2069
79,86.2069
80,86.2069
81,86.2069
82,86.2069
83,86.2069
84,86.2069
85,86.2069
86,86.2069
87,86.2069
88,86.2069
89,86.2069
90,86.2069
91,86.2069
92,86.2069
93,86.2069
94,86.2069
95,86.2069
96,86.2069
97,86.2069
98,86.2069
99,86.2069
100,86.2069
